learning_rate,batch_size,gradient_steps,learning_starts,buffer_size,policy_kwargs,reward
0.0003,256,4,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",237.47958529353141
0.0003,256,4,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",254.16049037456511
0.0003,256,4,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",133.21394973635674
0.0003,256,4,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",17.908414987921716
0.0003,256,4,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",30.459995626211168
0.0003,256,4,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",26.492770147323608
0.0005,128,1,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",222.41703396558762
0.0005,128,1,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",231.53858919143676
0.0005,128,1,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",211.30313463330268
0.0005,128,1,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",232.81973698019982
0.0005,128,1,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",49.03740797281265
0.0005,128,1,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",161.48872055649758
0.0005,128,1,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",25.570958119630813
0.0005,128,1,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",15.79195093870163
0.0005,128,4,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",412.2622831785679
0.0005,128,4,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",37.90210759878158
0.0005,128,4,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",171.96075748970267
0.0005,128,4,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",307.52069322943686
0.0005,128,4,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",20.076719387804623
0.0005,128,4,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",29.048533042080233
0.0005,128,4,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",16.136758153140544
0.0005,128,4,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",22.71757728934288
